BZ,WY,YW,AE,NP,XQ,HN,KO,MF,RA,MA,BQ,HX,QU,YM,EM,PH,FQ,RF,KZ,NM,MO,TB,SH,P,NG,HF,OH,JP,LX,GV,AL,RC,B,LG,VO,UR,SI,DY,W
0,1,1,1,1,0,1,0,3,1,1,3,0,0,0,1,0,1,0,0,2,2,2,0,1,3,2,1,3,0,1,0,1,1,0,3,2,0,0,2
0,2,3,1,2,2,0,0,2,3,1,3,1,0,0,1,3,1,0,0,1,1,2,3,0,3,3,1,3,0,1,0,1,0,0,2,2,1,2,2
1,2,3,1,1,0,1,1,1,0,1,3,1,1,1,1,1,0,0,1,3,1,2,1,2,2,2,1,2,1,0,0,3,1,1,0,3,0,0,2
0,2,1,1,2,2,0,0,3,1,1,0,0,1,1,2,2,1,0,1,2,0,0,0,1,1,3,0,2,1,1,0,1,1,1,3,0,0,0,1
1,3,2,1,0,1,1,0,1,3,1,2,2,1,0,0,0,1,1,0,3,2,2,1,2,2,2,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1,1,1,3,0,1,0,2,1,0,3,1,1,1,2,2,1,1,0,2,1,2,3,0,0,0,1,3,1,0,1,3,0,1,3,0,0,0,0
1,3,1,0,0,2,1,1,0,1,1,2,2,1,0,0,0,0,0,1,3,2,1,0,1,0,3,1,3,0,1,1,0,0,1,0,2,0,0,1
0,1,0,1,3,1,0,0,2,3,1,3,2,0,0,1,3,1,0,0,1,3,1,1,2,2,2,0,0,1,0,0,3,0,1,0,2,0,1,2
1,2,3,1,0,2,0,0,0,1,0,2,2,0,0,2,2,0,1,1,1,2,2,2,2,2,2,1,3,1,1,1,3,1,1,2,2,0,2,2
0,0,3,1,0,1,0,1,3,0,1,2,2,1,0,2,0,0,1,0,1,2,2,0,0,3,2,0,0,1,0,1,1,1,1,0,1,0,2,2
0,3,3,1,3,0,1,0,1,3,0,3,0,1,1,1,0,0,0,1,0,3,2,1,1,2,2,1,3,1,0,0,1,1,2,2,3,0,1,0
1,3,0,1,2,1,0,0,0,3,0,3,1,1,0,0,1,1,1,0,0,2,2,1,2,2,2,0,1,0,0,0,1,0,0,3,1,1,1,2
0,0,0,1,3,2,0,0,0,0,1,2,2,0,0,0,1,1,1,1,0,0,2,3,1,2,2,1,0,0,1,1,2,1,1,1,3,0,2,1
1,0,2,1,0,0,1,0,1,1,1,1,3,1,0,2,2,0,0,0,2,2,2,0,2,2,0,0,3,1,1,0,1,1,1,3,0,0,0,2
1,2,2,1,0,2,1,0,3,1,1,1,3,0,0,1,3,1,1,0,0,1,2,1,2,3,1,1,3,0,1,0,3,1,0,3,1,0,2,2
0,1,2,0,2,1,1,1,2,3,1,1,3,0,1,1,3,0,0,0,0,2,2,3,2,1,3,1,1,1,0,1,3,1,0,3,1,0,0,0
1,0,3,1,3,2,0,0,2,1,0,3,1,1,1,2,2,1,1,1,0,3,1,0,0,0,1,1,3,0,0,1,3,0,1,3,2,0,2,0
0,1,3,1,3,0,0,1,3,2,0,3,0,1,1,2,2,1,1,0,2,1,2,0,1,2,2,1,1,1,1,1,2,1,1,3,0,0,0,0
1,0,3,2,2,1,1,1,3,1,1,2,2,1,1,0,2,1,0,0,3,0,1,0,2,2,2,0,3,0,1,1,3,1,1,3,0,1,0,0
0,2,3,1,0,2,1,0,1,1,1,1,3,1,1,0,1,0,1,0,0,2,1,0,1,0,3,1,3,0,1,1,3,1,1,0,1,1,1,1
0,0,2,0,0,0,1,1,2,2,0,2,2,1,1,0,0,0,1,1,3,2,0,1,2,2,2,1,1,1,0,0,2,1,2,3,1,0,2,2
1,2,3,2,2,1,0,0,1,1,0,3,0,1,0,0,0,1,0,0,0,0,2,0,1,3,1,1,3,0,0,1,2,0,1,3,1,1,0,0
0,3,0,1,1,2,1,1,2,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,2,2,2,0,0,0,1,0,3,1,0,0,3,1,0,0
0,3,0,2,2,0,1,0,0,2,0,3,1,1,0,0,2,0,0,1,3,3,1,0,1,0,3,1,1,0,0,1,0,0,1,2,2,0,0,1
0,0,3,1,3,2,1,0,0,0,0,3,0,1,1,1,3,0,1,0,1,2,2,3,1,3,0,0,2,0,1,1,0,0,0,0,0,0,2,1
0,1,0,0,0,0,1,1,2,2,1,1,3,0,1,0,3,0,1,0,3,2,1,0,1,3,0,0,1,1,0,0,0,0,1,3,0,0,0,0
1,3,0,0,3,2,1,1,3,0,0,3,1,0,0,1,3,1,1,0,3,0,2,1,2,3,3,1,0,1,0,1,3,1,0,1,3,0,0,0
1,3,3,2,3,0,0,0,0,1,0,3,1,1,1,0,1,1,0,1,3,0,1,0,1,3,2,1,3,0,1,0,3,1,0,0,0,1,0,0
0,1,3,1,0,0,1,1,2,0,1,3,1,1,1,1,2,0,1,0,3,3,1,3,0,0,1,1,0,0,0,0,3,0,1,3,0,1,0,0
0,2,3,1,3,0,1,1,0,2,0,3,0,1,0,1,3,0,0,1,0,3,2,3,2,0,3,1,1,0,1,1,2,1,0,0,1,1,1,1
1,2,0,2,2,0,0,1,3,2,1,0,3,1,0,0,3,1,1,0,3,3,1,0,0,1,2,1,1,1,0,0,2,1,1,0,3,0,2,0
1,3,1,1,3,1,0,1,3,2,1,3,3,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,3,0,1,0,2
1,2,3,0,1,0,1,0,0,3,0,3,2,0,1,0,1,0,0,1,3,0,1,3,1,2,2,1,3,0,0,1,3,0,1,1,3,1,2,0
0,1,1,1,3,2,1,1,3,2,0,3,0,1,1,1,0,0,0,1,3,3,1,0,1,3,0,0,2,1,0,1,2,1,1,0,0,1,0,0
0,1,2,1,2,1,0,1,2,1,1,1,3,0,1,0,3,0,0,0,2,0,0,3,0,2,2,0,3,0,1,1,3,0,1,0,0,1,0,2
0,1,2,0,3,1,1,1,2,1,0,3,1,1,1,2,3,0,0,0,3,0,1,3,1,3,0,0,3,0,0,1,2,1,0,0,0,1,0,2
1,3,1,1,3,0,1,0,1,3,0,3,0,1,1,0,0,0,0,0,1,2,1,0,1,2,2,1,3,0,1,1,3,1,2,0,2,1,1,1
0,1,3,1,0,0,1,1,2,1,0,2,2,0,0,2,3,1,1,1,3,2,0,3,2,2,2,1,3,0,0,0,0,0,1,2,2,0,1,2
1,3,2,1,3,2,1,0,1,1,0,3,2,0,1,1,2,0,1,0,2,2,2,3,2,2,2,1,3,0,0,1,3,0,1,1,2,0,2,1
1,3,0,1,2,1,1,0,2,0,0,3,0,0,0,1,2,0,1,0,2,0,2,1,2,3,2,1,2,1,0,1,2,1,1,3,0,1,0,2
0,2,3,1,3,0,1,0,3,3,1,3,0,0,0,1,2,0,0,1,0,3,2,3,0,0,3,1,0,0,1,1,2,1,1,2,2,1,2,2
1,0,1,1,0,0,0,1,3,1,1,2,2,1,0,2,2,0,0,1,2,0,2,0,2,2,3,1,3,0,0,0,3,1,2,3,1,1,2,1
0,0,1,0,3,1,0,1,2,3,1,0,1,1,1,1,3,0,1,0,3,0,1,0,2,0,1,1,3,0,1,0,1,0,1,2,0,1,2,1
0,2,0,2,2,0,1,0,0,3,1,0,1,1,0,2,2,0,0,1,2,2,2,1,2,2,2,1,3,0,0,0,2,1,2,2,2,1,2,2
0,3,0,1,3,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1,2,1,0,1,3,0,0,3,1,1,1,3,1,0,2,2,1,2,2
1,0,2,1,3,2,0,1,0,0,1,0,1,0,1,2,1,0,1,0,2,1,1,0,2,2,2,1,2,1,0,1,0,0,0,1,3,0,1,0
1,3,0,2,0,1,0,0,1,0,1,3,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,1,1,1,3,1,0,1,2
0,0,3,2,2,1,1,0,1,1,1,1,0,0,1,0,2,0,0,0,1,0,1,3,1,3,1,1,3,0,1,1,3,1,0,2,2,0,2,2
1,3,1,0,0,1,0,1,3,1,0,2,0,0,0,0,2,1,0,0,3,0,1,0,1,0,1,1,3,1,0,1,0,1,1,2,2,1,2,2
1,3,2,1,2,1,0,0,3,0,1,1,3,1,0,2,2,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,2,1,0,1,3,1,0,1
0,0,3,1,2,1,0,1,3,0,0,3,2,1,1,0,1,0,1,0,2,3,1,0,0,3,1,1,0,1,0,1,2,1,1,2,2,0,2,2
1,0,0,1,2,0,1,1,3,2,0,0,1,1,0,2,2,1,1,0,3,3,0,1,2,2,2,1,1,0,1,1,0,1,0,1,0,0,0,1
1,0,2,1,0,2,1,0,1,0,1,2,0,1,0,1,0,1,0,1,1,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,2,0,1,1
1,2,1,1,0,0,1,0,3,0,1,3,0,1,0,1,0,1,0,0,0,3,2,1,2,2,2,1,3,0,1,0,0,1,0,1,1,1,1,1
0,3,1,1,0,2,1,0,3,3,0,0,1,1,0,0,1,1,1,0,2,2,1,0,1,2,0,0,1,1,0,1,1,1,1,2,2,0,0,2
1,2,2,0,1,0,1,1,2,3,1,1,3,0,0,1,3,1,0,0,0,2,2,0,1,3,1,0,2,1,0,1,2,1,1,0,3,0,2,0
1,2,3,2,0,2,1,0,3,3,0,2,2,0,1,0,2,1,0,1,1,3,1,3,0,3,1,1,3,1,1,0,1,1,1,3,1,0,2,1
0,3,0,1,2,1,1,0,2,2,0,3,1,0,1,0,0,0,1,0,2,2,0,3,0,0,0,0,2,1,0,1,2,1,0,1,2,1,2,1
0,1,1,0,0,1,1,1,2,3,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,3,1,1,0,0,0,0,3,1,0,1,2,0,0,0
0,3,1,1,2,0,0,1,0,2,1,3,0,1,0,0,0,1,1,1,3,0,1,0,1,3,1,0,1,1,1,1,3,1,2,1,0,1,0,1
1,3,0,1,1,0,1,0,1,3,0,3,1,0,1,1,2,1,0,0,2,1,2,0,1,3,0,1,3,1,0,0,2,0,0,3,0,0,2,0
0,0,2,1,3,0,0,0,1,3,0,3,1,1,0,2,2,0,0,0,2,1,2,3,1,3,0,0,2,1,1,0,3,1,2,2,2,1,2,2
0,1,0,2,2,0,1,0,3,0,0,3,2,0,1,1,0,0,1,0,1,0,1,1,2,2,2,1,3,0,1,1,2,1,0,3,2,0,1,0
1,1,0,1,3,0,0,1,3,0,0,3,0,1,1,1,3,0,0,1,0,3,2,0,1,3,2,1,0,1,0,1,3,1,1,3,2,1,2,2
1,0,3,1,3,0,1,0,3,1,1,3,0,0,1,1,0,1,1,0,3,3,2,3,1,0,2,1,0,0,1,0,3,1,1,1,0,1,2,0
0,2,3,1,3,0,0,1,0,3,1,2,2,0,1,1,3,0,1,0,3,1,2,0,1,3,0,1,3,0,1,1,3,1,2,2,2,0,0,1
0,0,0,0,0,0,1,1,3,0,1,2,3,1,1,1,3,0,1,0,2,2,2,3,2,2,0,0,0,0,1,0,3,1,0,0,3,0,0,1
0,0,1,1,0,0,1,1,2,3,1,2,2,0,0,0,3,1,1,0,3,2,1,0,2,2,2,1,3,1,0,0,1,0,1,3,0,0,0,0
0,1,1,1,0,2,0,1,1,1,1,2,2,0,0,0,2,0,1,0,3,2,1,0,1,3,1,1,3,1,0,0,3,1,1,1,2,1,1,1
1,2,3,1,3,2,1,0,1,2,0,3,1,1,1,0,1,0,1,0,1,2,1,0,1,2,3,1,1,1,0,0,0,0,1,0,3,0,0,0
0,3,1,0,3,1,1,0,3,3,0,3,1,0,0,2,1,0,1,0,3,0,0,1,1,3,1,1,3,0,1,0,1,1,2,0,3,1,0,0
0,1,0,1,0,0,1,0,2,1,1,1,0,1,1,1,2,0,0,0,3,0,2,0,1,0,0,1,3,0,0,1,3,1,2,2,0,0,0,1
1,2,2,1,3,1,1,0,3,1,1,3,0,0,1,2,1,0,0,1,2,1,0,1,2,2,0,0,0,1,0,0,2,1,1,1,1,0,1,0
1,3,0,2,2,2,0,0,3,1,1,3,2,1,0,0,0,1,1,0,3,0,1,0,1,0,3,1,3,1,1,0,3,1,1,2,2,1,0,2
1,0,1,1,3,1,1,0,3,1,0,3,2,0,1,1,3,0,0,1,0,0,2,3,1,3,2,0,3,0,0,1,2,1,2,2,2,0,2,0
1,2,3,1,1,1,0,0,0,1,1,3,1,0,1,1,3,0,1,0,0,1,2,2,0,0,1,1,3,1,0,1,0,0,0,3,2,1,1,0
1,3,1,0,2,0,1,1,0,2,1,3,1,0,1,0,3,0,0,1,1,1,1,0,1,3,1,0,2,0,0,0,0,0,1,3,0,1,0,2
0,0,3,1,0,2,0,0,2,0,1,1,3,1,1,1,3,0,1,1,2,2,2,0,2,2,2,1,0,1,0,0,1,0,1,2,2,1,2,0
1,3,2,1,3,2,0,0,3,2,1,0,1,1,1,1,0,0,0,0,0,3,2,0,1,3,0,0,1,1,0,1,3,1,0,1,3,0,0,2
1,2,3,1,3,0,1,1,2,1,0,3,1,1,1,2,2,0,0,0,2,1,2,3,0,3,0,0,2,0,0,1,3,0,2,3,0,1,2,2
0,1,2,1,3,0,0,1,3,0,0,3,1,1,0,0,1,0,1,0,3,0,2,0,1,2,2,1,0,1,0,1,2,1,1,3,0,0,0,0
1,3,1,1,3,2,1,0,1,3,1,1,3,1,0,2,2,0,0,0,2,3,2,3,0,0,3,1,3,0,1,0,2,0,1,3,0,0,0,2
1,0,3,1,2,0,0,1,1,3,1,1,0,1,0,0,2,1,1,0,2,0,0,2,1,0,1,1,3,0,0,0,1,1,0,2,2,0,2,2
0,3,2,1,3,1,1,1,3,2,0,3,1,1,1,2,2,0,0,0,3,3,0,0,1,1,3,1,0,0,0,0,0,1,1,2,1,1,0,1
1,0,2,1,3,2,1,0,3,3,1,1,2,0,1,1,3,0,1,0,3,1,2,3,1,3,0,0,2,0,1,1,2,1,2,2,2,0,2,1
1,3,3,0,3,0,1,1,1,1,1,1,0,1,1,2,1,0,0,1,0,3,1,0,1,3,0,1,3,0,1,1,0,0,1,3,0,1,0,2
1,0,3,1,3,0,0,1,2,3,1,2,2,0,0,0,2,0,0,0,3,1,1,1,2,2,0,0,0,0,1,0,2,1,1,0,0,1,0,2
1,3,3,1,2,0,0,1,3,1,0,0,1,1,1,1,3,0,1,0,3,3,2,0,1,3,0,0,3,0,1,0,2,1,1,3,1,0,0,0
1,0,3,1,3,2,0,1,3,1,1,0,0,1,1,1,0,0,1,0,3,3,1,1,2,3,1,0,3,0,0,0,2,1,1,0,2,0,2,1
1,3,3,2,0,1,0,0,1,2,0,0,1,1,0,1,3,0,0,0,3,3,1,0,1,3,0,0,2,1,0,0,0,0,1,2,2,0,2,2
0,0,0,1,2,2,0,1,2,0,0,3,1,0,0,2,2,0,1,1,2,2,1,0,0,1,3,1,2,1,0,1,0,0,0,3,1,0,2,1
1,3,3,1,3,1,1,0,1,1,1,0,3,0,1,1,0,0,1,0,2,3,2,3,2,2,0,0,3,0,0,0,0,0,1,3,0,0,0,2
0,1,2,0,2,1,1,1,0,2,1,1,3,1,0,2,2,0,0,0,3,3,0,1,2,2,2,1,3,1,0,0,2,1,1,2,2,0,1,2
1,3,0,2,2,1,1,0,1,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,1,0,3,1,3,1,0,1,3,1,1,3,0,1,0,2
0,3,2,1,2,2,0,1,2,3,1,2,3,0,0,1,2,0,1,1,2,0,2,0,1,0,0,0,2,0,1,1,2,1,0,1,0,0,0,1
1,2,3,1,3,0,1,0,3,3,1,0,2,0,0,0,1,0,1,0,2,1,0,1,0,3,1,0,2,0,1,0,2,1,2,3,2,0,0,2
0,0,0,1,2,1,1,1,0,1,1,3,0,1,1,1,2,1,0,0,0,0,2,0,0,1,0,0,2,0,0,1,3,1,1,3,2,0,2,0
1,1,1,2,1,2,0,1,3,0,1,1,0,0,0,0,0,1,0,1,3,2,1,0,1,3,2,0,1,0,0,0,0,0,1,2,2,0,1,1
1,3,1,1,0,1,1,0,2,1,1,3,1,1,1,2,2,1,1,1,2,2,2,3,0,2,2,0,3,1,0,1,3,1,1,3,0,0,2,0
0,0,3,1,0,0,0,1,0,0,0,0,3,1,0,1,2,0,1,1,3,2,1,0,1,3,1,1,2,1,0,1,3,1,1,3,0,0,0,1
0,2,1,0,0,0,0,1,3,1,1,1,3,0,0,0,0,1,1,0,2,2,0,0,1,2,2,1,3,1,0,0,0,0,2,2,2,0,2,2
1,2,1,0,3,0,1,1,3,0,1,1,3,1,0,0,0,1,0,1,1,3,1,1,0,3,0,0,0,1,0,0,3,1,2,0,1,0,2,1
1,2,1,1,3,0,0,1,0,1,1,3,2,0,0,0,1,1,1,0,1,3,1,0,2,2,3,1,3,1,0,1,1,0,2,0,0,1,2,2
0,0,2,0,3,1,1,0,0,0,1,1,3,1,1,0,2,1,0,1,1,3,1,0,0,0,1,1,3,0,0,0,3,1,1,2,0,1,0,0
1,2,1,1,3,2,0,1,3,3,0,3,0,1,0,0,3,0,0,0,0,3,0,1,2,2,0,0,0,0,0,1,0,0,1,3,0,0,2,2
0,0,0,2,2,1,1,0,3,0,1,1,0,1,1,0,2,0,1,0,3,0,1,0,1,0,0,0,0,1,1,0,2,1,1,3,1,0,2,0
0,3,2,1,0,0,1,0,1,2,0,2,2,1,0,1,3,0,0,1,2,0,2,1,2,2,2,1,1,1,0,0,0,0,1,1,3,0,2,1
1,2,0,1,0,1,0,1,3,1,1,2,2,0,1,2,0,0,0,1,1,3,0,3,0,0,3,1,3,1,0,0,3,1,1,3,0,0,2,0
1,1,3,1,2,2,0,1,3,0,1,1,3,1,0,2,0,0,1,0,3,3,0,3,2,2,2,0,2,0,1,1,2,1,0,0,1,0,1,2
0,3,3,2,2,1,1,0,0,3,1,0,3,1,0,2,2,0,1,0,0,2,1,0,1,2,2,0,3,1,0,0,0,0,1,3,1,0,1,2
0,1,1,2,2,0,0,0,0,0,1,1,3,1,0,2,1,1,1,0,2,0,2,0,1,0,2,0,2,0,1,0,1,0,1,0,1,1,1,1
0,1,1,1,3,2,1,0,2,3,1,1,3,1,0,1,2,0,0,0,0,3,2,1,2,2,2,0,1,1,1,0,1,0,1,0,1,0,1,0
1,0,3,1,0,2,1,1,3,1,1,0,0,0,0,2,2,0,1,0,0,3,1,1,2,0,0,0,3,1,0,0,3,1,1,2,2,1,2,2
1,2,2,0,1,1,1,1,0,1,1,1,1,1,0,1,3,1,0,1,3,0,2,1,0,1,0,0,2,0,1,1,0,0,2,2,2,0,2,2
0,2,1,1,0,0,1,0,1,2,0,2,0,1,1,0,3,0,1,1,3,0,1,0,1,1,0,0,1,1,0,1,2,0,1,3,1,0,2,2
1,2,0,0,1,0,0,0,3,1,1,1,2,1,0,2,2,0,1,0,2,1,2,0,0,1,2,1,3,0,1,0,0,1,1,0,0,1,1,0
1,2,2,1,3,0,0,1,3,0,0,3,0,0,1,0,2,1,1,0,2,1,1,0,1,2,2,1,2,1,0,1,3,1,0,0,3,0,2,1
0,0,1,1,3,2,0,0,1,0,0,3,2,0,0,0,0,0,1,0,1,3,1,0,2,2,2,1,0,1,0,0,1,1,0,2,0,1,0,2
1,0,3,1,3,2,0,1,2,2,0,3,1,0,1,1,0,0,0,0,1,2,1,0,0,2,2,1,1,1,0,1,0,0,1,3,0,0,2,0
0,0,2,0,0,1,1,1,3,1,0,2,2,0,0,2,2,0,1,0,0,1,1,0,0,1,0,1,3,0,0,0,1,1,0,2,0,0,0,2
0,1,3,1,1,0,0,1,3,3,1,3,0,1,1,1,0,0,1,0,0,1,2,0,1,3,2,1,3,1,1,0,3,1,1,2,2,0,1,1
1,2,1,1,2,0,0,1,1,1,1,1,3,1,0,0,1,1,0,1,2,0,0,1,2,3,0,0,2,1,0,0,1,0,1,3,1,0,1,2
1,2,2,0,1,1,0,0,0,1,0,3,1,1,1,0,2,0,1,0,3,0,1,3,0,1,0,1,3,0,0,0,3,1,0,0,1,1,1,0
1,0,2,1,0,2,0,1,3,3,0,2,1,1,1,0,1,0,1,0,0,2,2,0,0,3,0,0,0,0,0,1,3,1,1,0,3,1,1,1
1,3,1,2,2,0,0,0,3,2,0,3,2,0,0,2,2,0,1,0,0,1,1,0,1,3,0,1,1,0,0,1,2,1,2,2,2,0,0,2
0,0,0,1,3,0,1,0,1,2,0,3,0,0,1,1,3,0,0,1,1,2,2,3,1,0,2,1,1,1,0,0,3,1,1,0,3,0,1,2
1,3,1,0,3,0,1,1,3,1,0,3,0,1,0,1,3,0,1,0,2,1,2,0,1,2,2,1,3,0,1,1,3,1,1,2,0,0,0,2
0,0,1,0,2,2,0,0,1,3,1,1,0,1,1,1,3,0,1,0,3,0,2,0,0,3,2,1,1,1,0,1,3,1,1,2,2,0,2,1
0,1,3,1,2,1,0,1,1,1,1,0,3,1,1,0,1,0,1,0,0,2,2,3,0,3,0,0,3,1,0,0,2,0,0,0,1,0,2,0
0,0,3,1,2,2,1,0,3,3,1,3,0,1,1,0,1,0,1,0,3,2,1,0,0,0,3,1,1,0,0,0,3,0,1,2,1,0,2,2
1,3,1,2,2,0,1,0,0,3,1,1,2,1,1,0,1,1,0,1,3,0,1,0,2,2,2,1,3,1,1,0,0,1,1,0,0,0,0,2
0,1,0,1,2,0,1,0,3,1,0,2,2,0,0,2,2,0,1,0,0,2,1,0,1,3,1,1,3,1,0,1,3,1,1,3,2,1,1,2
1,1,0,0,0,1,1,1,2,2,0,2,1,1,0,2,0,0,0,0,1,2,2,0,1,0,1,1,3,1,1,1,0,0,1,3,1,0,1,0
0,3,3,1,3,1,1,1,0,1,0,3,1,1,0,2,2,0,0,1,1,2,0,3,0,1,3,1,3,0,0,1,2,1,0,1,2,0,0,1
0,0,0,0,1,1,1,0,3,1,0,0,1,1,0,1,2,0,0,0,1,0,1,3,1,2,2,0,3,0,1,1,3,1,1,3,2,0,1,2
1,0,1,2,2,2,0,0,3,3,0,3,2,0,1,0,3,0,0,1,1,0,1,0,2,2,2,1,0,1,0,0,1,1,0,1,3,0,1,0
0,2,0,1,0,2,0,0,1,0,1,1,3,0,1,2,1,0,0,1,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0,0,2,1,3,2,0,1,2,0,1,3,1,1,0,0,2,0,1,1,0,3,0,0,2,0,1,0,1,0,0,1,2,1,0,0,1,0,0,1
0,2,1,1,0,1,1,0,2,2,0,0,1,1,1,1,3,0,0,0,3,3,2,3,2,2,2,1,3,1,0,0,1,0,1,2,0,0,0,1
1,3,0,0,0,0,1,1,0,2,1,1,2,1,0,1,0,1,1,1,3,2,1,0,1,3,0,0,1,0,0,0,2,1,0,3,2,0,2,2
1,2,2,1,3,2,1,1,0,3,1,3,1,1,1,2,2,0,1,0,3,3,0,1,2,2,2,1,1,1,0,0,0,1,1,2,2,1,2,1
1,3,1,0,2,1,1,1,3,3,0,3,0,0,0,1,2,0,1,0,2,0,2,1,2,2,2,0,0,1,1,0,2,1,1,3,1,0,1,2
0,2,0,0,1,1,1,1,3,0,0,2,2,1,1,1,0,0,1,0,2,1,2,0,1,3,0,0,2,0,1,1,0,0,1,3,0,1,0,0
1,1,0,2,2,2,0,0,1,1,1,3,1,0,0,0,0,1,0,0,3,3,1,0,1,0,2,1,3,0,1,1,3,0,1,3,0,0,0,2
0,3,3,1,3,0,0,1,0,2,0,3,1,0,0,2,2,0,0,1,3,0,0,3,0,1,3,1,1,0,0,1,0,0,0,2,2,1,0,2
0,1,0,1,3,2,0,0,2,0,1,1,2,0,0,2,0,1,0,0,3,1,0,3,0,1,3,1,3,0,1,0,3,0,1,3,0,1,0,2
0,0,2,0,2,2,0,0,0,0,0,3,2,0,1,2,0,0,1,0,2,3,2,0,0,1,3,1,2,0,1,0,1,0,1,2,2,0,2,1
1,2,3,1,2,2,0,0,0,3,1,1,3,1,0,1,2,0,0,1,0,2,2,0,1,2,2,0,1,0,0,0,3,0,2,2,2,0,2,2
1,3,2,1,3,1,1,0,2,0,1,0,2,0,0,2,2,0,0,0,2,2,2,0,2,2,2,0,0,0,0,0,3,0,0,1,2,0,2,1
1,3,1,1,3,1,0,0,1,1,1,1,3,1,0,2,2,1,0,0,3,3,0,0,2,2,0,0,3,0,0,0,2,1,1,2,2,0,0,2
0,2,2,1,3,2,0,1,1,3,1,1,3,1,0,1,0,1,1,0,3,3,1,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0,1,2
1,1,3,2,3,2,0,0,0,3,1,3,2,0,1,0,1,0,0,1,1,3,1,0,1,0,3,1,3,1,0,0,0,0,1,0,1,0,1,2
1,3,3,2,2,2,0,0,2,3,1,0,0,1,1,1,0,0,1,0,0,0,2,3,0,2,2,0,3,1,0,0,1,0,1,3,0,0,0,0
1,2,0,0,0,0,1,0,3,1,1,2,2,0,1,0,3,0,0,1,1,2,1,3,0,2,2,1,3,0,1,1,0,0,0,1,1,1,1,0
0,0,3,1,3,1,0,0,1,2,0,3,0,1,0,1,3,1,1,0,3,1,1,1,2,2,0,0,0,0,0,0,0,0,1,2,1,1,2,2
0,1,1,1,3,2,1,0,3,1,1,3,2,0,1,2,2,1,1,1,3,1,0,1,2,2,2,0,3,0,0,0,3,1,0,0,1,0,2,0
1,3,1,0,3,2,0,1,1,2,0,3,0,0,0,2,2,0,1,0,2,1,2,0,1,3,1,0,1,1,0,1,2,0,1,2,2,0,0,2
1,3,0,1,3,2,0,0,0,3,1,1,2,1,1,0,1,0,0,1,2,2,1,3,0,1,3,1,3,0,1,1,1,1,0,1,3,1,1,0
1,0,1,0,3,2,0,1,2,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,2,2,2,1,0,1,0,1,0,0,2,2,2,0,2,2
1,3,1,0,1,2,0,1,0,1,1,3,1,0,1,0,0,1,1,0,0,1,2,0,1,2,2,1,3,0,1,0,0,0,0,1,2,0,0,2
1,0,0,2,2,1,1,0,1,0,1,3,1,0,0,1,2,1,0,0,3,3,2,0,2,3,2,0,2,1,0,0,0,0,1,0,3,0,2,2
0,2,2,0,0,0,1,1,2,0,1,2,2,1,0,0,0,0,1,1,2,0,1,0,1,3,2,1,3,0,1,1,3,1,2,2,2,0,2,2
0,1,0,1,3,1,1,0,0,1,1,0,2,0,0,0,3,1,1,0,3,1,1,0,1,3,1,1,3,0,1,1,0,0,2,2,2,1,1,2
0,1,1,0,1,0,1,1,1,0,1,1,3,1,1,2,3,0,1,0,3,2,0,1,2,0,2,1,0,1,0,1,3,1,1,3,1,0,0,0
1,3,2,0,0,2,0,1,3,2,1,1,3,1,1,0,0,1,1,0,1,2,1,0,1,3,0,0,2,1,0,0,2,1,1,3,1,0,0,0
0,3,2,0,3,0,1,0,0,0,0,3,0,1,1,1,3,0,0,1,1,2,2,1,1,3,0,1,0,0,1,1,2,0,1,0,0,0,0,2
0,3,1,0,2,0,1,1,0,0,1,1,3,0,1,1,3,0,1,1,3,3,2,2,0,1,2,1,0,0,1,0,1,1,0,3,2,0,1,2
0,3,1,0,1,2,0,1,3,0,1,1,2,0,0,0,3,1,1,0,3,0,1,3,2,2,0,0,2,0,1,1,3,1,1,2,1,1,1,2
0,3,1,1,3,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,3,2,0,2,2,3,1,3,0,0,0,0,0,2,2,2,0,2,2
0,1,0,0,0,2,0,0,1,2,0,0,3,0,0,1,3,0,0,1,0,1,2,3,0,0,1,1,3,0,1,0,2,0,2,2,2,0,2,1
1,2,2,2,0,2,1,0,1,0,0,0,1,0,1,1,2,0,0,1,0,2,2,1,2,2,2,0,0,0,0,1,3,1,0,3,2,0,1,0
1,3,1,1,3,1,1,1,3,2,0,2,2,0,1,0,3,0,1,0,0,0,0,1,1,3,0,0,1,1,0,1,2,1,1,0,1,0,0,1
0,1,3,1,0,2,0,0,0,1,0,2,2,0,1,0,3,0,0,1,3,2,1,0,1,0,2,1,3,0,1,0,2,1,1,2,2,0,1,0
